file_name,Orientation Loss,Edge Coverage,Average Thickness,Average Separation,Distance Entropy,Zoom,Focus,Contrast
['data/modified_images/50000/pillar2_crown_22.tif'],179.1298981,18.95103455,1.692393184,2.029294729,0.990631664,50000,7.4,67.1546
['data/modified_images/50000/pillar2_top_11.tif'],126.1198273,20.62091827,1.70597887,1.860780597,0.998028347,50000,7.9,66.5874
['data/modified_images/50000/pillar2_top_21.tif'],136.0523224,20.5499649,1.733893752,1.869999409,0.998282715,50000,7.9,66.5874
['data/modified_images/50000/pillar2_top_22.tif'],136.6309204,20.99571228,1.686330438,1.842024565,0.998027771,50000,7.9,66.5874
['data/modified_images/50000/pillar3_bottom_11.tif'],203.7967224,19.83184814,1.708397031,1.948294759,0.995218015,50000,7.6,66.73
['data/modified_images/50000/pillar3_bottom_12.tif'],205.5130615,19.91882324,1.726502895,1.913900733,0.99680861,50000,7.6,66.73
['data/modified_images/50000/pillar3_bottom_21.tif'],203.46315,19.58026886,1.663312674,2.023005724,0.989435183,50000,7.6,66.73
['data/modified_images/50000/pillar3_crown_11.tif'],172.1212921,18.83945465,1.753802896,1.986430407,0.997104118,50000,7.5,66.5874
['data/modified_images/50000/pillar3_crown_12.tif'],171.2239075,18.94550323,1.751900196,1.977169275,0.996228809,50000,7.5,66.5874
['data/modified_images/50000/pillar3_crown_22.tif'],164.8144531,19.14863586,1.765554428,1.973513007,0.996917601,50000,7.5,66.5874
['data/modified_images/50000/pillar3_middle_11.tif'],151.4999847,19.7555542,1.749423265,1.933671236,0.997131974,50000,7.5,66.5874
['data/modified_images/50000/pillar3_middle_12.tif'],142.3618164,19.94285583,1.733807445,1.956121922,0.99606937,50000,7.5,66.5874
['data/modified_images/50000/pillar3_middle_21.tif'],162.9845886,19.96974945,1.718643427,1.937480927,0.996265377,50000,7.5,66.5874
['data/modified_images/50000/pillar3_middle_22.tif'],155.7048035,19.75326538,1.723075747,1.981957436,0.995113317,50000,7.5,66.5874
['data/modified_images/50000/pillar3_top_11.tif'],134.2511749,19.99893188,1.747859836,1.897705436,0.997833733,50000,7.5,66.5874
['data/modified_images/50000/pillar3_top_21.tif'],139.0827026,20.03822327,1.725221872,1.947201848,0.996037575,50000,7.5,66.5874
